"Time_start","flux.CH4","R2.CH4","p.CH4","fDOY_end","file","sample","flux_source","position","flux_start","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT","campaign","fieldnotes"
0.424722222222222,7112.58582140707,0.999126297907755,5.66820552402998e-141,0.425763888888889,"f0005","MD1","m","mid","10:11:06","1/01/2002",1,"2002","05/16/2022",1,38.6,35.6,36.3,NA,"N","med",83.32,NA,"","/01/2002",36.8333333333333,"may22",NA
0.427268518518518,4943.03968256274,0.998117626042502,8.33192431956192e-126,0.428310185185185,"f0005","MD1","m","low","10:14:46","1/01/2002",1,"2002","05/16/2022",2,31.4,31.4,30.9,NA,"E","med",83.32,NA,"","/01/2002",31.2333333333333,"may22",NA
0.429513888888889,8710.45154626747,0.999852129491402,4.47578251652914e-176,0.430555555555556,"f0005","MD1","m","mid","10:18:00","1/01/2002",1,"2002","05/16/2022",3,33.3,33,34.2,NA,"S","med",83.32,NA,"","/01/2002",33.5,"may22",NA
0.43224537037037,4291.343658153,0.993929004539494,1.15039210239911e-102,0.433287037037037,"f0005","MD1","m","low","10:21:56","1/01/2002",1,"2002","05/16/2022",4,41.4,42.5,41.8,NA,"W","med",83.32,NA,"","/01/2002",41.9,"may22",NA
31.4209490740741,2156.54046051446,0.998564440184179,1.3872374800366e-132,31.4219907407407,"f0007","MD1","m","top","10:05:40","2/01/2002",2,"2002","05/16/2022",5,38.6,39.2,37.6,NA,"","med",83.32,NA,"","/01/2002",38.4666666666667,"may22",NA
31.4247222222222,100.816395593049,0.880926091040106,7.90284265374978e-44,31.4257638888889,"f0007","MD1","s","0","10:11:06","2/01/2002",2,"2002","05/16/2022",6,43.5,44.1,44.1,NA,"N","lg",183.85,NA,"","/01/2002",43.9,"may22",NA
31.4268055555556,7.95156005153,0.0560288406575879,0.0223488759697962,31.4278472222222,"f0007","MD1","s","1","10:14:06","2/01/2002",2,"2002","05/16/2022",7,42.9,43.6,43.2,NA,"N","lg",183.85,NA,"","/01/2002",43.2333333333333,"may22",NA
31.4290162037037,-5.46257344991129,0.0227913194233296,0.148602626489557,31.4300578703704,"f0007","MD1","s","2","10:17:17","2/01/2002",2,"2002","05/16/2022",8,43.9,45,45,NA,"N","lg",183.85,NA,"","/01/2002",44.6333333333333,"may22",NA
59.4191782407407,1127.21074000257,0.989177336358275,3.06014813127015e-91,59.4202199074074,"f0009","MD2","m","mid","10:03:07","3/01/2002",3,"2002","05/16/2022",1,36,36.4,36.2,NA,"N","med",83.32,NA,"","/01/2002",36.2,"may22",NA
59.4215277777778,2380.650467828,0.999520331840737,8.01934206404888e-153,59.4225694444444,"f0009","MD2","m","low","10:06:30","3/01/2002",3,"2002","05/16/2022",2,35,34.5,35.5,NA,"E","med",83.32,NA,"","/01/2002",35,"may22",NA
59.4237847222222,847.280462152116,0.998459697662141,9.07038335864032e-130,59.4248263888889,"f0009","MD2","m","mid","10:09:45","3/01/2002",3,"2002","05/16/2022",3,35.2,34.7,34.3,NA,"S","med",83.32,NA,"","/01/2002",34.7333333333333,"may22",NA
59.4262152777778,2873.38757048043,0.999356118634224,5.27265797898402e-147,59.4272569444444,"f0009","MD2","m","low","10:13:15","3/01/2002",3,"2002","05/16/2022",4,34.9,34.4,34.5,NA,"W","med",83.32,NA,"","/01/2002",34.6,"may22",NA
59.4286458333333,1538.16072849449,0.999457648645092,2.14345677911194e-150,59.4296875,"f0009","MD2","m","top","10:16:45","3/01/2002",3,"2002","05/16/2022",5,36.3,36.8,36.8,NA,"","med",83.32,NA,"","/01/2002",36.6333333333333,"may22",NA
59.4313657407407,238.024789274897,0.985283606141329,3.62526479379714e-85,59.4324074074074,"f0009","MD2","s","0","10:20:40","3/01/2002",3,"2002","05/16/2022",6,39,37.7,37.3,NA,"N","lg",183.85,NA,"","/01/2002",38,"may22",NA
59.433912037037,-5.43794226817383,0.0349444016417183,0.072781528810818,59.4349537037037,"f0009","MD2","s","1","10:24:20","3/01/2002",3,"2002","05/16/2022",7,34.8,34.8,34.9,NA,"N","lg",183.85,NA,"","/01/2002",34.8333333333333,"may22",NA
59.4369212962963,84.7887045079538,0.909357461924597,9.46921587136669e-50,59.437962962963,"f0009","MD2","s","2","10:28:40","3/01/2002",3,"2002","05/16/2022",8,35.6,35.8,35.7,NA,"N","lg",183.85,NA,"","/01/2002",35.7,"may22",NA
90.4214699074074,4265.47589643532,0.999105567495665,1.64752112800321e-140,90.4225115740741,"f0010","MD3","m","mid","10:06:25","4/01/2002",4,"2002","05/16/2022",1,31.8,31.7,31.8,NA,"N","med",83.32,NA,"","/01/2002",31.7666666666667,"may22",NA
90.4236111111111,1295.74714700719,0.998961031397228,1.5026485396556e-137,90.4246527777778,"f0010","MD3","m","low","10:09:30","4/01/2002",4,"2002","05/16/2022",2,29.8,29.5,29.7,NA,"E","med",83.32,NA,"","/01/2002",29.6666666666667,"may22",NA
90.4256365740741,378.360760721211,0.996429959755674,3.70350336603508e-113,90.4266782407407,"f0010","MD3","m","low","10:12:25","4/01/2002",4,"2002","05/16/2022",3,30,30.4,30.6,NA,"S","med",83.32,NA,"","/01/2002",30.3333333333333,"may22",NA
90.4277199074074,2003.41053638104,0.999202177420715,9.08099763576375e-143,90.4287615740741,"f0010","MD3","m","mid","10:15:25","4/01/2002",4,"2002","05/16/2022",4,32.6,32.6,32.5,NA,"W","med",83.32,NA,"","/01/2002",32.5666666666667,"may22",NA
90.4303240740741,4.81766283109125,0.0352455066002111,0.0715372906920628,90.4313657407407,"f0010","MD3","s","0","10:19:10","4/01/2002",4,"2002","05/16/2022",5,32.4,30.1,29.8,NA,"N","lg",183.85,NA,"","/01/2002",30.7666666666667,"may22",NA
90.4328703703704,7.94060150524811,0.0766809891322524,0.00720752744700439,90.433912037037,"f0010","MD3","s","1","10:22:50","4/01/2002",4,"2002","05/16/2022",6,30.4,30.8,31,NA,"N","lg",183.85,NA,"","/01/2002",30.7333333333333,"may22",NA
90.4350115740741,4.33334459275498,0.0256606122417831,0.125069045053079,90.4360532407407,"f0010","MD3","s","2","10:25:55","4/01/2002",4,"2002","05/16/2022",7,29.9,30,30.2,NA,"N","lg",183.85,NA,"","/01/2002",30.0333333333333,"may22",NA
120.42349537037,2986.40046473061,0.996284165983097,2.28864891130833e-112,120.424537037037,"f0011","MD4","m","mid","10:09:20","5/01/2002",5,"2002","05/16/2022",1,32.3,32.5,33.2,NA,"N","med",83.32,NA,"","/01/2002",32.6666666666667,"may22",NA
120.425810185185,5415.99593957793,0.997746684496804,2.98611683162407e-122,120.426851851852,"f0011","MD4","m","low","10:12:40","5/01/2002",5,"2002","05/16/2022",2,30.1,30.1,29.9,NA,"E","med",83.32,NA,"","/01/2002",30.0333333333333,"may22",NA
120.428009259259,15933.9404965925,0.997533265943379,1.83365252820356e-120,120.429050925926,"f0011","MD4","m","mid","10:15:50","5/01/2002",5,"2002","05/16/2022",3,30.1,30.4,30.8,NA,"S","med",83.32,NA,"","/01/2002",30.4333333333333,"may22",NA
120.430555555556,7490.38894751706,0.985556502207272,1.54671522412747e-85,120.431597222222,"f0011","MD4","m","low","10:19:30","5/01/2002",5,"2002","05/16/2022",4,30.7,31,31.2,NA,"W","med",83.32,NA,"","/01/2002",30.9666666666667,"may22",NA
