VC:cf32204 BD:May 26 2016 SN:US4300161200001274
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  27/02/2024 10:23:48.164,   1.787768e+00,   0.000000e+00,   3.736330e+04,   0.000000e+00,   4.380259e+02,   0.000000e+00,   1.857158e+00,   0.000000e+00,   4.550273e+02,   0.000000e+00,   1.400573e+02,   0.000000e+00,   2.690450e+01,   0.000000e+00,   2.747112e+01,   0.000000e+00,   7.641403e+00,   0.000000e+00,   9.482320e+00,   0.000000e+00,              3,              0,       1 meters
  27/02/2024 10:23:49.141,   1.781838e+00,   0.000000e+00,   3.727137e+04,   0.000000e+00,   4.352437e+02,   0.000000e+00,   1.850821e+00,   0.000000e+00,   4.520939e+02,   0.000000e+00,   1.400600e+02,   0.000000e+00,   2.690668e+01,   0.000000e+00,   2.747754e+01,   0.000000e+00,   7.642203e+00,   0.000000e+00,   9.489779e+00,   0.000000e+00,              3,              0,       1 meters
  27/02/2024 10:23:50.119,   1.784302e+00,   0.000000e+00,   3.736944e+04,   0.000000e+00,   4.369140e+02,   0.000000e+00,   1.853569e+00,   0.000000e+00,   4.538751e+02,   0.000000e+00,   1.400838e+02,   0.000000e+00,   2.690839e+01,   0.000000e+00,   2.748261e+01,   0.000000e+00,   7.640894e+00,   0.000000e+00,   9.484370e+00,   0.000000e+00,              3,              0,       1 meters
  27/02/2024 10:23:51.095,   1.782627e+00,   0.000000e+00,   3.744737e+04,   0.000000e+00,   4.365023e+02,   0.000000e+00,   1.851978e+00,   0.000000e+00,   4.534841e+02,   0.000000e+00,   1.400696e+02,   0.000000e+00,   2.691045e+01,   0.000000e+00,   2.749061e+01,   0.000000e+00,   7.642767e+00,   0.000000e+00,   9.473822e+00,   0.000000e+00,              3,              0,       1 meters
  27/02/2024 10:23:52.072,   1.781006e+00,   0.000000e+00,   3.748234e+04,   0.000000e+00,   4.335326e+02,   0.000000e+00,   1.850362e+00,   0.000000e+00,   4.504152e+02,   0.000000e+00,   1.400658e+02,   0.000000e+00,   2.691163e+01,   0.000000e+00,   2.749589e+01,   0.000000e+00,   7.642166e+00,   0.000000e+00,   9.479265e+00,   0.000000e+00,              3,              0,       1 meters
  27/02/2024 10:23:53.050,   1.784132e+00,   0.000000e+00,   3.784984e+04,   0.000000e+00,   4.302026e+02,   0.000000e+00,   1.854318e+00,   0.000000e+00,   4.471262e+02,   0.000000e+00,   1.400908e+02,   0.000000e+00,   2.691301e+01,   0.000000e+00,   2.750017e+01,   0.000000e+00,   7.641307e+00,   0.000000e+00,   9.477765e+00,   0.000000e+00,              3,              0,       1 meters
  27/02/2024 10:23:54.026,   1.784344e+00,   0.000000e+00,   3.808376e+04,   0.000000e+00,   4.258725e+02,   0.000000e+00,   1.854989e+00,   0.000000e+00,   4.427335e+02,   0.000000e+00,   1.400644e+02,   0.000000e+00,   2.691601e+01,   0.000000e+00,   2.751084e+01,   0.000000e+00,   7.637129e+00,   0.000000e+00,   9.471258e+00,   0.000000e+00,              3,              0,       1 meters
  27/02/2024 10:23:55.003,   1.782794e+00,   0.000000e+00,   3.815115e+04,   0.000000e+00,   4.212218e+02,   0.000000e+00,   1.853508e+00,   0.000000e+00,   4.379293e+02,   0.000000e+00,   1.400708e+02,   0.000000e+00,   2.691708e+01,   0.000000e+00,   2.751405e+01,   0.000000e+00,   7.643230e+00,   0.000000e+00,   9.472508e+00,   0.000000e+00,              3,              0,       1 meters
  27/02/2024 10:23:55.980,   1.776318e+00,   0.000000e+00,   3.785838e+04,   0.000000e+00,   4.171408e+02,   0.000000e+00,   1.846213e+00,   0.000000e+00,   4.335545e+02,   0.000000e+00,   1.400826e+02,   0.000000e+00,   2.691798e+01,   0.000000e+00,   2.752205e+01,   0.000000e+00,   7.642323e+00,   0.000000e+00,   9.472851e+00,   0.000000e+00,              3,              0,       1 meters
  27/02/2024 10:23:56.957,   1.769988e+00,   0.000000e+00,   3.764231e+04,   0.000000e+00,   4.136772e+02,   0.000000e+00,   1.839221e+00,   0.000000e+00,   4.298581e+02,   0.000000e+00,   1.400651e+02,   0.000000e+00,   2.692104e+01,   0.000000e+00,   2.753112e+01,   0.000000e+00,   7.640158e+00,   0.000000e+00,   9.474500e+00,   0.000000e+00,              3,              0,       1 meters
